project,dataset,tableName,connection,tableType,lastModifiedBy,last ModifiedOn,data type
20230925CARDIOCLAIMCHECKS,treatmentunit_details_v,treatmentunit_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,25/09/2023,input data
20230925CARDIOCLAIMCHECKS,postcodes_with_area_details,postcodes_with_area_details,bss_ssi_ukhflosc_hive,JDBC,cartemp,25/09/2023,SSI
20230925CARDIOCLAIMCHECKS,postcode_ons_nov21,postcode_ons_nov21,bss_ukhflosc_postgres,PostgreSQL,cartemp,25/09/2023,output storage
20230925CARDIOCLAIMCHECKS,postcode_town_mapping,postcode_town_mapping,bss_ukhflosc_postgres,PostgreSQL,cartemp,25/09/2023,output storage
20230925CARDIOCLAIMCHECKS,vw_acpm_thi_catgry,vw_acpm_thi_catgry,fdp_datalake_hive,JDBC,cartemp,19/12/2023,input data
20230925CARDIOCLAIMCHECKS,vw_acpm_thi_sub_catgry,vw_acpm_thi_sub_catgry,fdp_datalake_hive,JDBC,cartemp,19/12/2023,input data
20230925CARDIOCLAIMCHECKS,vw_ukhe_ref_raw_treatment_model,vw_ukhe_ref_raw_treatment_model,fdp_datalake_hive,JDBC,cartemp,19/12/2023,input data
20230925CARDIOCLAIMCHECKS,data_total,,floss_s3,S3,cartemp,25/09/2023,intermediate storage
20230925CARDIOCLAIMCHECKS,ecgactivity,,floss_s3,S3,cartemp,26/09/2023,intermediate storage
20230925CARDIOCLAIMCHECKS,ecgout,,floss_s3,S3,cartemp,12/10/2023,intermediate storage
20230925CARDIOCLAIMCHECKS,echos,,floss_s3,S3,cartemp,15/12/2023,intermediate storage
20230925CARDIOCLAIMCHECKS,output,,floss_s3,S3,cartemp,25/09/2023,intermediate storage
20230925CARDIOCLAIMCHECKS,output_summ,,floss_s3,S3,cartemp,25/09/2023,intermediate storage
20230925CARDIOCLAIMCHECKS,revenue,,floss_s3,S3,cartemp,19/12/2023,intermediate storage
20230925CARDIOCLAIMCHECKS,tester,,floss_s3,S3,cartemp,15/12/2023,intermediate storage
20230925CARDIOCLAIMCHECKS,treatment,,floss_s3,S3,cartemp,19/12/2023,intermediate storage
20230928HKSELFPAYPRICES,pmi_claims_directive_v,pmi_claims_directive_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,28/09/2023,input data
20230928HKSELFPAYPRICES,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,28/09/2023,input data
20230928HKSELFPAYPRICES,base,,floss_s3,S3,cartemp,28/09/2023,intermediate storage
20231121SHOULDERSPEND,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,21/11/2023,input data
20231121SHOULDERSPEND,shoulder_out,,floss_s3,S3,cartemp,21/11/2023,intermediate storage
20240105SPENDSUMMARY,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,05/01/2024,input data
20240105SPENDSUMMARY,treatmentunit_details_v,treatmentunit_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,05/01/2024,input data
20240105SPENDSUMMARY,spend_base,,floss_s3,S3,cartemp,05/01/2024,intermediate storage
20240229WAITTIMESDELAYANALYSIS,claim_visits_v,claim_visits_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,01/03/2024,input data
20240229WAITTIMESDELAYANALYSIS,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,29/02/2024,input data
20240229WAITTIMESDELAYANALYSIS,treatmentunit_details_v,treatmentunit_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,01/03/2024,input data
20240229WAITTIMESDELAYANALYSIS,vw_ukhe_ref_raw_treatment_model,vw_ukhe_ref_raw_treatment_model,fdp_datalake_hive,JDBC,cartemp,01/03/2024,input data
20240229WAITTIMESDELAYANALYSIS,base_adj,,floss_s3,S3,cartemp,01/03/2024,intermediate storage
20240229WAITTIMESDELAYANALYSIS,base_data,,floss_s3,S3,cartemp,01/03/2024,intermediate storage
20240229WAITTIMESDELAYANALYSIS,count_out,,floss_s3,S3,cartemp,01/03/2024,intermediate storage
20240229WAITTIMESDELAYANALYSIS,median_out,,floss_s3,S3,cartemp,01/03/2024,intermediate storage
20240229WAITTIMESDELAYANALYSIS,pmi_claims_v_2018onwards,,floss_s3,S3,cartemp,01/03/2024,intermediate storage
20240229WAITTIMESDELAYANALYSIS,tu_file,,floss_s3,S3,cartemp,01/03/2024,intermediate storage
20240229WAITTIMESDELAYANALYSIS,visit_2018plus,,floss_s3,S3,cartemp,01/03/2024,intermediate storage
ABI_HEALTH_OUTCOMES,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,a205218,02/01/2024,input data
ABI_HEALTH_OUTCOMES,treatment_details_v,treatment_details_v,agi_health_flosc_postgresql,PostgreSQL,a205218,02/01/2024,input data
ABI_HEALTH_OUTCOMES,BASEDATA,,floss_s3,S3,a205218,03/01/2024,intermediate storage
ACTIVENETWORKMEMBERS,practitioner_details_v,practitioner_details_v,agi_health_flosc_postgresql,PostgreSQL,a163101,15/02/2024,input data
ACTIVENETWORKMEMBERS,treatmentunit_details_v,treatmentunit_details_v,agi_health_flosc_postgresql,PostgreSQL,a163101,02/11/2023,input data
ACTIVENETWORKMEMBERS,Network_Members_TU_Practitioners,ACTIVENETWORKMEMBERS_network_members_tu_practitioners,bss_ukhflosc_mssql,SQLServer,a163101,09/05/2023,output storage
ACTIVENETWORKMEMBERS,vw_acpm_thi_ntwrk,vw_acpm_thi_ntwrk,fdp_datalake_hive,JDBC,a163101,21/09/2023,input data
ACTIVENETWORKMEMBERS,vw_acpm_thi_ntwrk_ins,vw_acpm_thi_ntwrk_ins,fdp_datalake_hive,JDBC,a163101,24/04/2023,input data
ACTIVENETWORKMEMBERS,vw_acpm_thi_ntwrk_mem,vw_acpm_thi_ntwrk_mem,fdp_datalake_hive,JDBC,a163101,24/04/2023,input data
ACTIVENETWORKMEMBERS,vw_acpm_thi_treatment_unit,treatmentunit_details_v,agi_health_flosc_postgresql,PostgreSQL,a163101,24/04/2023,input data
ACTIVENETWORKMEMBERS,Active_only,,filesystem_managed,Filesystem,a163101,21/11/2023,intermediate storage
ACTIVENETWORKMEMBERS,networks_combined,,filesystem_managed,Filesystem,a163101,09/05/2023,intermediate storage
ACTIVENETWORKMEMBERS,Active_Network_Hospitals,,floss_s3,S3,a163101,15/02/2024,intermediate storage
ACTIVEWITHRESTRICTIONSREPORT,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,a163101,19/09/2023,input data
ACTIVEWITHRESTRICTIONSREPORT,practitioner_details_v,practitioner_details_v,agi_health_flosc_postgresql,PostgreSQL,a163101,05/12/2023,input data
ACTIVEWITHRESTRICTIONSREPORT,gmc_full,gmc_full,bss_ssi_ukhflosc_hive,JDBC,a163101,07/12/2023,SSI
ACTIVEWITHRESTRICTIONSREPORT,vw_acpm_thi_pract_rest,vw_acpm_thi_pract_rest,fdp_datalake_hive,JDBC,a163101,24/05/2023,input data
ACTIVEWITHRESTRICTIONSREPORT,vw_acpm_thi08000_latest,vw_acpm_thi08000_latest,fdp_datalake_hive,JDBC,a163101,19/09/2023,input data
ACTIVEWITHRESTRICTIONSREPORT,vw_acpm_thi08006_latest,vw_acpm_thi08006_latest,fdp_datalake_hive,JDBC,a163101,19/09/2023,input data
ACTIVEWITHRESTRICTIONSREPORT,Active_With_Restrictions,,filesystem_managed,Filesystem,a163101,05/12/2023,intermediate storage
ACTIVEWITHRESTRICTIONSREPORT,Active_With_Restrictions_GMC2,,filesystem_managed,Filesystem,a163101,05/12/2023,intermediate storage
ACTIVEWITHRESTRICTIONSREPORT,Active_With_Restrictions_GMC2_joined,,filesystem_managed,Filesystem,a163101,05/12/2023,intermediate storage
ACTIVEWITHRESTRICTIONSREPORT,Active_With_Restrictions_joined,,filesystem_managed,Filesystem,a163101,05/12/2023,intermediate storage
ACTIVEWITHRESTRICTIONSREPORT,Bill_summary_direct,,filesystem_managed,Filesystem,a163101,20/09/2023,intermediate storage
ACTIVEWITHRESTRICTIONSREPORT,Bill_summary_indirect,,filesystem_managed,Filesystem,a163101,20/09/2023,intermediate storage
ACTIVEWITHRESTRICTIONSREPORT,Past_2_Years,,filesystem_managed,Filesystem,a163101,20/09/2023,intermediate storage
ACTIVEWITHRESTRICTIONSREPORT,Past2_plus_indirect,,filesystem_managed,Filesystem,a163101,25/09/2023,intermediate storage
ACTIVEWITHRESTRICTIONSREPORT,Practitioner_Restriction_Types,,filesystem_managed,UploadedFiles,a163101,29/06/2023,intermediate storage
ACTIVEWITHRESTRICTIONSREPORT,Restrictions_sorted,,filesystem_managed,Filesystem,a163101,29/06/2023,intermediate storage
ACTIVEWITHRESTRICTIONSREPORT,Restrictions_sorted_topn,,filesystem_managed,Filesystem,a163101,29/06/2023,intermediate storage
ACTIVEWITHRESTRICTIONSREPORT,vw_acpm_thi_pract_rest_prepared,,filesystem_managed,Filesystem,a163101,29/06/2023,intermediate storage
ACTIVEWITHRESTRICTIONSREPORT,Active_With_Restrictions_Final,,floss_s3,S3,a163101,05/12/2023,intermediate storage
ADHOC_1,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,a200261,18/12/2023,input data
ADHOC_1,treatmentunit_details_v,treatmentunit_details_v,agi_health_flosc_postgresql,PostgreSQL,a200261,06/02/2024,input data
ADHOC_1,ADHOC_1_lake_condgrouper_copy,ADHOC_1_lake_condgrouper_copy,bss_ukhflosc_postgres,PostgreSQL,a200261,08/02/2024,output storage
ADHOC_1,vw_acpm_thi_catgry,vw_acpm_thi_catgry,fdp_datalake_hive,JDBC,a200261,08/12/2023,input data
ADHOC_1,vw_acpm_thi_condition,vw_acpm_thi_condition,fdp_datalake_hive,JDBC,a200261,08/12/2023,input data
ADHOC_1,vw_acpm_thi_sub_catgry,vw_acpm_thi_sub_catgry,fdp_datalake_hive,JDBC,a200261,08/12/2023,input data
ADHOC_1,vw_acpm_thi_sub_catgry,vw_acpm_thi_sub_catgry,fdp_datalake_hive,JDBC,a200261,08/12/2023,input data
ADHOC_1,claims_3_yrs,,floss_s3,S3,a200261,18/12/2023,intermediate storage
ADHOC_1,diag_groups,,floss_s3,S3,a200261,23/01/2024,intermediate storage
ADHOC_1,lake_condgrouper,,floss_s3,S3,a200261,02/01/2024,intermediate storage
ADHOC_1,out_01,,floss_s3,S3,a200261,18/12/2023,intermediate storage
ADHOC_1,out_1,,floss_s3,S3,a200261,08/02/2024,intermediate storage
ADHOC_1,pmi_claims_3_yrs_sas,,floss_s3,UploadedFiles,a200261,18/12/2023,intermediate storage
ADHOC_1,pmi_claims_3yrs,,floss_s3,S3,a200261,29/12/2023,intermediate storage
ADHOC_1,pmi_claims_3yrs,,floss_s3,S3,a200261,29/12/2023,intermediate storage
ADHOC_1,pmi_claims_3yrs_filtered,,floss_s3,S3,a200261,28/12/2023,intermediate storage
ANAETHETISTS,practitioner_admitrights_v,practitioner_admitrights_v,agi_health_flosc_postgresql,PostgreSQL,a163101,09/01/2024,input data
ANAETHETISTS,practitioner_details_v,practitioner_details_v,agi_health_flosc_postgresql,PostgreSQL,a163101,09/01/2024,input data
ANAETHETISTS,practitioner_speciality_v,practitioner_speciality_v,agi_health_flosc_postgresql,PostgreSQL,a163101,09/01/2024,input data
ANAETHETISTS,practitioner_subspeciality_v,practitioner_subspeciality_v,agi_health_flosc_postgresql,PostgreSQL,a163101,09/01/2024,input data
ANAETHETISTS,treatmentunit_details_v,treatmentunit_details_v,agi_health_flosc_postgresql,PostgreSQL,a163101,09/01/2024,input data
ANAETHETISTS,postcode_areas_counties_regions,postcode_areas_counties_regions,bss_ssi_ukhflosc_hive,JDBC,a163101,10/01/2024,SSI
ANAETHETISTS,Anaethetists_Qlik,ANAETHETISTS_anaethetists_qlik,bss_ukhflosc_mssql,SQLServer,a163101,10/01/2024,output storage
ANAETHETISTS,postcode_ons_nov21,postcode_ons_nov21,bss_ukhflosc_postgres,PostgreSQL,a163101,09/01/2024,output storage
ANAETHETISTS,Anaethetists,,floss_s3,S3,a163101,09/01/2024,intermediate storage
ANAETHETISTS,Anaethetists_plus_long_lat,,floss_s3,S3,a163101,10/01/2024,intermediate storage
ANFEUPLIFT,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,a205218,27/12/2023,input data
ANFEUPLIFT,vw_ukhe_ref_raw_treatment_model,vw_ukhe_ref_raw_treatment_model,fdp_datalake_hive,JDBC,a205218,27/12/2023,input data
ANFEUPLIFT,20_ANFE,,floss_s3,S3,a205218,29/12/2023,intermediate storage
ANFEUPLIFT,30_ANFE,,floss_s3,S3,a205218,29/12/2023,intermediate storage
ANFEUPLIFT,ANFE_BASE,,floss_s3,S3,a205218,29/12/2023,intermediate storage
ANFEUPLIFT,ANFE_BASE_filtered,,floss_s3,S3,a205218,29/12/2023,intermediate storage
ANFEUPLIFT,Totals_ANFE,,floss_s3,S3,a205218,28/12/2023,intermediate storage
ANFEUPLIFT,View3,,floss_s3,S3,a205218,29/12/2023,intermediate storage
ANFEUPLIFT,View3_20,,floss_s3,S3,a205218,29/12/2023,intermediate storage
ANFEUPLIFT,View3_30,,floss_s3,S3,a205218,29/12/2023,intermediate storage
ANFEUPLIFT,View4,,floss_s3,S3,a205218,29/12/2023,intermediate storage
ANFEUPLIFT,View4_20,,floss_s3,S3,a205218,29/12/2023,intermediate storage
ANFEUPLIFT,View4_30,,floss_s3,S3,a205218,29/12/2023,intermediate storage
ANFEUPLIFT,CodesOfInterest,,,UploadedFiles,a205218,27/12/2023,#N/A
ANFEUPLIFT,Copy_of_CCSD___Fee_Schedule,,,UploadedFiles,a205218,27/12/2023,#N/A
APPOINTMENTBOOKING,member_details_v,member_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,15/05/2023,input data
APPOINTMENTBOOKING,member_details_v,member_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,15/05/2023,input data
APPOINTMENTBOOKING,pmi_claims_directive_v,pmi_claims_directive_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,03/02/2023,input data
APPOINTMENTBOOKING,pmi_claims_directive_v_1,pmi_claims_directive_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,10/03/2023,input data
APPOINTMENTBOOKING,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,10/03/2023,input data
APPOINTMENTBOOKING,iku_test,APPOINTMENTBOOKING_iku_test,bss_ukhflosc_mssql,SQLServer,cartemp,08/02/2023,output storage
APPOINTMENTBOOKING,iku_test_no_mod,APPOINTMENTBOOKING_iku_test_no_mod,bss_ukhflosc_mssql,SQLServer,cartemp,09/02/2023,output storage
APPOINTMENTBOOKING,iku_test_table,iku_test_table,bss_ukhflosc_postgres,PostgreSQL,cartemp,09/02/2023,output storage
APPOINTMENTBOOKING,vw_acpm_pob_thi_app_mi_data_crepayreq,vw_acpm_pob_thi_app_mi_data_crepayreq,fdp_datalake_hive,JDBC,cartemp,29/08/2023,input data
APPOINTMENTBOOKING,vw_acpm_pob_thi_app_mi_data_crepayreq,vw_acpm_pob_thi_app_mi_data_crepayreq,fdp_datalake_hive,JDBC,cartemp,29/08/2023,input data
APPOINTMENTBOOKING,vw_acpm_pob_thi_app_mi_data_valclmauthor,vw_acpm_pob_thi_app_mi_data_valclmauthor,fdp_datalake_hive,JDBC,cartemp,29/08/2023,input data
APPOINTMENTBOOKING,vw_acpm_pob_thi_app_mi_data_valpractioner,vw_acpm_pob_thi_app_mi_data_valpractioner,fdp_datalake_hive,JDBC,cartemp,29/08/2023,input data
APPOINTMENTBOOKING,vw_acpm_supplychain_thi_app_mi_data_bookappmnt,vw_acpm_supplychain_thi_app_mi_data_bookappmnt,fdp_datalake_hive,JDBC,cartemp,08/02/2023,input data
APPOINTMENTBOOKING,vw_acpm_supplychain_thi_app_mi_data_bookappmnt,vw_acpm_supplychain_thi_app_mi_data_bookappmnt,fdp_datalake_hive,JDBC,cartemp,08/02/2023,input data
APPOINTMENTBOOKING,vw_acpm_supplychain_thi_app_mi_data_bookappmnt_1,vw_acpm_supplychain_thi_app_mi_data_bookappmnt,fdp_datalake_hive,JDBC,cartemp,29/08/2023,input data
APPOINTMENTBOOKING,vw_acpm_supplychain_thi_app_mi_data_getslot,vw_acpm_supplychain_thi_app_mi_data_getslot,fdp_datalake_hive,JDBC,cartemp,08/02/2023,input data
APPOINTMENTBOOKING,vw_acpm_supplychain_thi_sp_avilability,vw_acpm_supplychain_thi_sp_avilability,fdp_datalake_hive,JDBC,cartemp,08/02/2023,input data
APPOINTMENTBOOKING,vw_acpm_thi_pat_treatment,vw_acpm_thi_pat_treatment,fdp_datalake_hive,JDBC,cartemp,03/02/2023,input data
APPOINTMENTBOOKING,vw_acpm_thi_pat_treatment,vw_acpm_thi_pat_treatment,fdp_datalake_hive,JDBC,cartemp,03/02/2023,input data
APPOINTMENTBOOKING,vw_acpm_thi_practitioner,practitioner_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,10/03/2023,input data
APPOINTMENTBOOKING,vw_acpm_thi_treatment_unit,treatmentunit_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,03/02/2023,input data
APPOINTMENTBOOKING,vw_acpm_thi_treatment_unit,treatmentunit_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,03/02/2023,input data
APPOINTMENTBOOKING,vw_acpm_thi_treatment_unit_1,treatmentunit_details_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,10/03/2023,input data
APPOINTMENTBOOKING,base_data_1,,filesystem_managed,Filesystem,cartemp,03/02/2023,intermediate storage
APPOINTMENTBOOKING,combined_base_data,,filesystem_managed,Filesystem,cartemp,03/02/2023,intermediate storage
APPOINTMENTBOOKING,combined_base_data,,filesystem_managed,Filesystem,cartemp,03/02/2023,intermediate storage
APPOINTMENTBOOKING,confirmed_base_data,,filesystem_managed,Filesystem,cartemp,03/02/2023,intermediate storage
APPOINTMENTBOOKING,output_data,,filesystem_managed,Filesystem,cartemp,07/02/2023,intermediate storage
APPOINTMENTBOOKING,output_data_filtered,,filesystem_managed,Filesystem,cartemp,13/02/2023,intermediate storage
APPOINTMENTBOOKING,TEST123,,filesystem_managed,Filesystem,cartemp,10/03/2023,intermediate storage
APPOINTMENTBOOKING,treatment_base_trans,,filesystem_managed,Filesystem,cartemp,03/02/2023,intermediate storage
APPOINTMENTBOOKING,treatments_base,,filesystem_managed,Filesystem,cartemp,03/02/2023,intermediate storage
APPOINTMENTBOOKING,void_base_data,,filesystem_managed,Filesystem,cartemp,03/02/2023,intermediate storage
APPOINTMENTBOOKING,book_apt,,floss_s3,S3,cartemp,04/07/2023,intermediate storage
APPOINTMENTBOOKING,book_apt,,floss_s3,S3,cartemp,04/07/2023,intermediate storage
APPOINTMENTBOOKING,book_data,,floss_s3,S3,cartemp,04/07/2023,intermediate storage
AUTO_DEPLOYMENT_TEST,commission_test_data__1,,,UploadedFiles,a182377,09/03/2022,#N/A
AVERAGECODETOOL,address_details_member_v,address_details_member_v,agi_health_flosc_postgresql,PostgreSQL,a163101,15/06/2023,input data
AVERAGECODETOOL,member_contactid_v,member_contactid_v,agi_health_flosc_postgresql,PostgreSQL,a163101,15/06/2023,input data
AVERAGECODETOOL,member_details_v,member_details_v,agi_health_flosc_postgresql,PostgreSQL,a163101,15/06/2023,input data
AVERAGECODETOOL,member_details_v,member_details_v,agi_health_flosc_postgresql,PostgreSQL,a163101,15/06/2023,input data
AVERAGECODETOOL,payment_verification_v,payment_verification_v,agi_health_flosc_postgresql,PostgreSQL,a163101,04/07/2023,input data
AVERAGECODETOOL,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,a163101,27/09/2023,input data
AVERAGECODETOOL,treatmentunit_details_v,treatmentunit_details_v,agi_health_flosc_postgresql,PostgreSQL,a163101,12/02/2024,input data
AVERAGECODETOOL,vedafile_v,vedafile_v,agi_health_flosc_postgresql,PostgreSQL,a163101,11/07/2023,input data
AVERAGECODETOOL,Qlik_Average_Code_Tool,AVERAGECODETOOL_qlik_average_code_tool,bss_ukhflosc_mssql,SQLServer,a163101,25/01/2024,output storage
AVERAGECODETOOL,vw_acpm_thi_payee,vw_acpm_thi_payee,fdp_datalake_hive,JDBC,a163101,10/07/2023,input data
AVERAGECODETOOL,vw_acpm_thi_payee,vw_acpm_thi_payee,fdp_datalake_hive,JDBC,a163101,10/07/2023,input data
AVERAGECODETOOL,vw_acpm_thi_visit_latest,claim_visits_v,agi_health_flosc_postgresql,PostgreSQL,a163101,29/06/2023,input data
AVERAGECODETOOL,vw_acpm_thi08000_latest,vw_acpm_thi08000_latest,fdp_datalake_hive,JDBC,a163101,10/07/2023,input data
AVERAGECODETOOL,vw_acpm_thi08006_latest,vw_acpm_thi08006_latest,fdp_datalake_hive,JDBC,a163101,10/07/2023,input data
AVERAGECODETOOL,vw_gms_member_latest,vw_gms_member_latest,fdp_datalake_hive,JDBC,a163101,15/06/2023,input data
AVERAGECODETOOL,vw_gms_membfile_latest,vw_gms_membfile_latest,fdp_datalake_hive,JDBC,a163101,15/06/2023,input data
AVERAGECODETOOL,pmi_claims_v_prepared,,filesystem_managed,Filesystem,a163101,19/10/2023,intermediate storage
AVERAGECODETOOL,Qlik_Average_Code_Tool_prepared,,filesystem_managed,Filesystem,a163101,24/10/2023,intermediate storage
AVERAGECODETOOL,Qlik_Average_Code_Tool_prepared,,filesystem_managed,Filesystem,a163101,24/10/2023,intermediate storage
AVERAGECODETOOL,Average_Complexities_PKG,,floss_s3,S3,a163101,12/03/2024,intermediate storage
AVERAGECODETOOL,AveragePaid,,floss_s3,S3,a163101,25/01/2024,intermediate storage
AVERAGECODETOOL,pmi_claims_v_prepared2,,floss_s3,S3,a163101,25/01/2024,intermediate storage
B2BRECONCILATION,pmi_claims_v,pmi_claims_v,agi_health_flosc_postgresql,PostgreSQL,cartemp,04/01/2024,input data
B2BRECONCILATION,b2b_reconcilation,,floss_s3,S3,cartemp,04/01/2024,intermediate storage
B2BRECONCILATION,b2b_reconcilation_by_business_class_summary,,floss_s3,S3,cartemp,07/02/2024,intermediate storage
