Sequence,Domain,Model,ModelType,Class,ClassDescription,Attribute,AttributeDescription,DataType,Context,SubContext,Nulls,IsPK,Relationship,FromClass,FromAttribute,FromCardinality,ToClass,ToAttribute,ToCardinality
13,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",PROV_STATE_TP_CD,"Identifies US States, Possessions, overseas military locations, as well as non-US country provinces. For overseas military locations, APO or FPO designations are used along with a ""state"" abbreviation, AE, AP, or AA, and the ZIP code.",BIGINT,,,Null,No,,,,,,,
14,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",ADDR_LINE_ONE,The first line of an address.,VARCHAR(100),,,Not Null,No,,,,,,,
15,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",P_ADDR_LINE_ONE,The phonetic representation of the first line of an address. Not currently used.,CHAR(8),,,Null,No,,,,,,,
16,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",ADDR_LINE_TWO,The second line of an address.,VARCHAR(100),,,Null,No,,,,,,,
17,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",P_ADDR_LINE_TWO,The phonetic representation of the second line of an address. Not currently used.,CHAR(8),,,Null,No,,,,,,,
18,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",ADDR_LINE_THREE,The third line of an address.,VARCHAR(100),,,Null,No,,,,,,,
19,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",P_ADDR_LINE_THREE,The phonetic representation of the third line of an address. Not currently used.,CHAR(8),,,Null,No,,,,,,,
20,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",CITY_NAME,The city of an address.,VARCHAR(50),,,Not Null,No,,,,,,,
21,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",POSTAL_CODE,"Postal Codes, and ZIP Codes, are used by the postal system to uniquely identify an address location.",VARCHAR(20),,,Null,No,,,,,,,
22,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",ADDR_STANDARD_IND,Indicates whether this address is standardized.,CHAR(1),,,Null,No,,,,,,,
23,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",OVERRIDE_IND,Indicates whether the address standardization process should be overridden.,CHAR(1),,,Null,No,,,,,,,
24,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",RESIDENCE_NUM,"The apartment, suite, or unit number of the address.",VARCHAR(10),,,Null,No,,,,,,,
25,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",COUNTY_CODE,A three-digit postal code used to identify the county of the post office.,CHAR(3),,,Null,No,,,,,,,
26,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",LATITUDE_DEGREES,"Latitude of Measure in Degrees identifies an angular distance north or south. Latitude Degrees is useful for Mapping Software (for example, to identify the nearest doctors office).",VARCHAR(10),,,Null,No,,,,,,,
27,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",LONGITUDE_DEGREES,"Longitude of Measure in Degrees identifies an angular distance east or west. Longitude Degrees is useful for Mapping Software (for example, to identify the nearest doctors office).",VARCHAR(10),,,Null,No,,,,,,,
28,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
29,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
30,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
31,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",POSTAL_BARCODE,The structure of the 12 digits postal bar code is as follows: 5 digits for the ZIP code; 4 digits for the ZIP+4 code; 2 digits representing the last 2 digits of the street address; 1 digit checksum calculated as the sum of the other digits modulo 10.,VARCHAR(30),,,Null,No,,,,,,,
32,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",P_CITY,The phonetic key for City.,VARCHAR(20),,,Null,No,,,,,,,
33,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",BUILDING_NAME,The name of the building.,VARCHAR(64),,,Null,No,,,,,,,
34,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",STREET_NUMBER,"The street number of the building. For example: ""55"" in the address ""55 Main Road East"".",VARCHAR(16),,,Null,No,,,,,,,
35,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",STREET_NAME,"The name of the street. For example: ""Main"" in the address ""55 Main Road East"".",VARCHAR(64),,,Null,No,,,,,,,
36,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",STREET_SUFFIX,"The type of street. For example: ""Road"" in the address ""55 Main Road East"".",VARCHAR(16),,,Null,No,,,,,,,
37,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",PRE_DIRECTIONAL,A directional element of the address.,VARCHAR(16),,,Null,No,,,,,,,
38,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",POST_DIRECTIONAL,"A directional element of the address. For example: ""East"" in the address ""55 Main Road East"".",VARCHAR(16),,,Null,No,,,,,,,
39,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",BOX_DESIGNATOR,Box designator.,VARCHAR(16),,,Null,No,,,,,,,
40,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",BOX_ID,Box identifier.,VARCHAR(16),,,Null,No,,,,,,,
41,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",STN_INFO,Station information.,VARCHAR(16),,,Null,No,,,,,,,
42,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",STN_ID,Station identifier.,VARCHAR(16),,,Null,No,,,,,,,
43,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",REGION,"Further qualification of area, in addition to City.",VARCHAR(32),,,Null,No,,,,,,,
44,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",DEL_DESIGNATOR,Delivery designator.,VARCHAR(16),,,Null,No,,,,,,,
45,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",DEL_ID,Delivery identifier.,VARCHAR(16),,,Null,No,,,,,,,
46,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",DEL_INFO,Additional delivery information.,VARCHAR(50),,,Null,No,,,,,,,
47,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",P_STREET_NAME,The phonetic representation of the name of the street.,VARCHAR(30),,,Null,No,,,,,,,
48,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESS,"The ADDRESS table records the location used for mailing and other street addresses. Only one address per CDADDRUSAGETP is allowed. For example, there can only be one ""Mailing"" address for a contact. This table is used by the following domains. 2 InfoSphere MDM 11.3: MDM Physical Data Dictionary v Account Domain v Party Domain",STREET_PREFIX,,VARCHAR(16),,,Null,No,,,,,,,
49,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESSGROUP,The ADDRESSGROUP table links a contact to an address and contains rules specific for using that address. This table is used by the following domain. v Party Domain ,LOCATION_GROUP_ID,"A unique, system-generated key that identifies a location group in the system.",BIGINT,,,Not Null,Yes,,,,,,,
50,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESSGROUP,The ADDRESSGROUP table links a contact to an address and contains rules specific for using that address. This table is used by the following domain. v Party Domain ,ADDRESS_ID,"A unique, system-generated key that identifies an address in the system.",BIGINT,,,Not Null,No,,,,,,,
51,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESSGROUP,The ADDRESSGROUP table links a contact to an address and contains rules specific for using that address. This table is used by the following domain. v Party Domain ,CARE_OF_DESC,"In Care of Description is placed above the recipient line. It contains information such as a specific person or department to provide additional information, facilitating delivery.",VARCHAR(50),,,Null,No,,,,,,,
52,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESSGROUP,The ADDRESSGROUP table links a contact to an address and contains rules specific for using that address. This table is used by the following domain. v Party Domain ,ADDR_USAGE_TP_CD,"Identifies the usage of an address provided by a party. Examples include residence address, business address, and so forth.",BIGINT,,,Not Null,No,,,,,,,
53,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESSGROUP,The ADDRESSGROUP table links a contact to an address and contains rules specific for using that address. This table is used by the following domain. v Party Domain ,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
54,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESSGROUP,The ADDRESSGROUP table links a contact to an address and contains rules specific for using that address. This table is used by the following domain. v Party Domain ,LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
55,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ADDRESSGROUP,The ADDRESSGROUP table links a contact to an address and contains rules specific for using that address. This table is used by the following domain. v Party Domain ,LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
56,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,AGREEMENTSPECVAL,The AGREEMENTSPECVAL table contains spec values that are related to business agreements. This table is used by the following domain. v Account Domain Chapter 1. Tables 5,AGREEMENT_SPEC_VAL_ID,"A unique, system-generated key that identifies a set of contract related spec values in the system.",BIGINT,,,Not Null,Yes,,,,,,,
57,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,AGREEMENTSPECVAL,The AGREEMENTSPECVAL table contains spec values that are related to business agreements. This table is used by the following domain. v Account Domain Chapter 1. Tables 5,SPEC_ID,The spec that describes the definition of the spec values.,BIGINT,,,Not Null,No,,,,,,,
58,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,AGREEMENTSPECVAL,The AGREEMENTSPECVAL table contains spec values that are related to business agreements. This table is used by the following domain. v Account Domain Chapter 1. Tables 5,SPEC_FMT_ID,"The spec format, or version, used to validate these spec values.",BIGINT,,,Not Null,No,,,,,,,
59,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,AGREEMENTSPECVAL,The AGREEMENTSPECVAL table contains spec values that are related to business agreements. This table is used by the following domain. v Account Domain Chapter 1. Tables 5,ENTITY_NAME,The type of entity with which the spec values are associated. The types of entities are expected to be contract-related.,VARCHAR(250),,,Not Null,No,,,,,,,
60,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,AGREEMENTSPECVAL,The AGREEMENTSPECVAL table contains spec values that are related to business agreements. This table is used by the following domain. v Account Domain Chapter 1. Tables 5,INSTANCE_PK,The primary key of the related entity.,BIGINT,,,Not Null,No,,,,,,,
61,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,AGREEMENTSPECVAL,The AGREEMENTSPECVAL table contains spec values that are related to business agreements. This table is used by the following domain. v Account Domain Chapter 1. Tables 5,VALUE_XML,The spec values as defined by the associated spec format.,XML,,,Not Null,No,,,,,,,
62,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,AGREEMENTSPECVAL,The AGREEMENTSPECVAL table contains spec values that are related to business agreements. This table is used by the following domain. v Account Domain Chapter 1. Tables 5,START_DT,The date when this record becomes active.,TIMESTAMP,,,Not Null,No,,,,,,,
63,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,AGREEMENTSPECVAL,The AGREEMENTSPECVAL table contains spec values that are related to business agreements. This table is used by the following domain. v Account Domain Chapter 1. Tables 5,END_DT,The date when this record becomes inactive.,TIMESTAMP,,,Null,No,,,,,,,
64,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,AGREEMENTSPECVAL,The AGREEMENTSPECVAL table contains spec values that are related to business agreements. This table is used by the following domain. v Account Domain Chapter 1. Tables 5,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
65,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,AGREEMENTSPECVAL,The AGREEMENTSPECVAL table contains spec values that are related to business agreements. This table is used by the following domain. v Account Domain Chapter 1. Tables 5,LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
66,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,AGREEMENTSPECVAL,The AGREEMENTSPECVAL table contains spec values that are related to business agreements. This table is used by the following domain. v Account Domain Chapter 1. Tables 5,LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
67,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BANKACCOUNT,"The BANKACCOUNT table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",PAYMENT_SOURCE_ID,"A unique, system-generated key that identifies a payment source in the system.",BIGINT,,,Not Null,Yes,,,,,,,
68,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BANKACCOUNT,"The BANKACCOUNT table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",ACCT_TP_CD,"The type of bank account provided by the party. Some examples are checking, savings, etc.",BIGINT,,,Not Null,No,,,,,,,
