Sequence,Domain,Model,ModelType,Class,ClassDescription,Attribute,AttributeDescription,DataType,Context,SubContext,Nulls,IsPK,Relationship,FromClass,FromAttribute,FromCardinality,ToClass,ToAttribute,ToCardinality
38,Inventory,Inventory,Physical,,,,,,,,,,soldBy,QOrder,sales_staff_id,One,Staff,staff_id,Many
39,Inventory,Inventory,Physical,Customer,An individual who is involved in a quote or order. Subject to GDPR regulations. ,customer_id,Individual customer identifier,integer,,,No,Yes,,,,,,,
40,Inventory,Inventory,Physical,Customer,An individual who is involved in a quote or order. Subject to GDPR regulations. ,customer_name,Name of customer.,string,,,No,No,,,,,,,
41,Inventory,Inventory,Physical,Customer,An individual who is involved in a quote or order. Subject to GDPR regulations. ,customer_address_line_1,First line of customer address.,string,,,No,No,,,,,,,
42,Inventory,Inventory,Physical,Customer,An individual who is involved in a quote or order. Subject to GDPR regulations. ,customer_address_line_2,Second line of customer address.,string,,,No,No,,,,,,,
43,Inventory,Inventory,Physical,Customer,An individual who is involved in a quote or order. Subject to GDPR regulations. ,customer_address_line_3,Third line of customer address.,string,,,No,No,,,,,,,
44,Inventory,Inventory,Physical,Customer,An individual who is involved in a quote or order. Subject to GDPR regulations. ,customer_postal_town,Customer address town.,string,,,No,No,,,,,,,
45,Inventory,Inventory,Physical,Customer,An individual who is involved in a quote or order. Subject to GDPR regulations. ,customer_postal_code,Customer address post-code.,string,,,No,No,,,,,,,
46,Inventory,Inventory,Physical,Customer,An individual who is involved in a quote or order. Subject to GDPR regulations. ,customer_phone_number,Customer Phone Number.,string,,,No,No,,,,,,,
47,Inventory,Inventory,Physical,,,,,,,,,,IsOrderedBy,QOrder,customer_id,Many,Customer,customer_id,One
